Name of Initiative,Organization Name,Location 1,State,Category,Unique ID,State Based
Medicare Advantage Value-Based Insurance Design Model,"CVS Health Corporation (Aetna, Inc.)","151 Farmington Ave Hartford, CT (41.768046, -72.688425)",CT,Health Plan Models,43,
Medicare Advantage Value-Based Insurance Design Model,Blue Cross Blue Shield of Michigan,"1000 Town Center Dr., MC 1516 Southfield, MI (42.47623399500003, -83.24400897299995)",MI,Health Plan Models,44,
Medicare Advantage Value-Based Insurance Design Model,Blue Cross Blue Shield of Rhode Island,"500 Exchange St. Providence, RI (41.827999, -71.41293)",RI,Health Plan Models,45,
Medicare Advantage Value-Based Insurance Design Model,"CareOregon, Inc.","315 SW 5th Ave Portland, OR (45.52126, -122.676232)",OR,Health Plan Models,46,
Medicare Advantage Value-Based Insurance Design Model,"Capital District Physicians' Health Plan Models, Inc.","500 Patroon Creek Blvd Albany, NY (42.68421, -73.805878)",NY,Health Plan Models,47,
Medicare Advantage Value-Based Insurance Design Model,Highmark Health,"120 Fifth Ave Pittsburgh, PA (40.528428, -80.023262)",PA,Health Plan Models,48,
Medicare Advantage Value-Based Insurance Design Model,"Humana, Inc.","500 West Main St Kentucky, KY (37.646151, -84.777484)",KY,Health Plan Models,49,
Medicare Advantage Value-Based Insurance Design Model,Sentara Health Care,"4417 Corporation Lane Virginia Beach, VA (36.847997, -76.129597)",VA,Health Plan Models,50,
Medicare Advantage Value-Based Insurance Design Model,"UnitedHealth Group, Inc.","9800 Healthcare Lane Minnetonka, MN (44.895294, -93.403887)",MN,Health Plan Models,51,
Medicare Advantage Value-Based Insurance Design Model,UPMC Health System,"600 Grant St. Pittsburgh, PA (40.441437, -79.99546)",PA,Health Plan Models,52,
Pennsylvania Rural Health Model,ACMH HOSPITAL,"1 Nolte Drive Kittanning, PA (40.812095, -79.562335)",PA,Health Plan Models,53,
Pennsylvania Rural Health Model,BARNES-KASSON COUNTY HOSPITAL,"2872 Turnpike Street Susquehanna, PA (41.947372, -75.594016)",PA,Health Plan Models,54,
Pennsylvania Rural Health Model,ENDLESS MOUNTAINS HEALTH SYSTEMS,"100 Hospital Drive Montrose, PA (41.83573, -75.836978)",PA,Health Plan Models,55,
Pennsylvania Rural Health Model,FULTON COUNTY MEDICAL CENTER,"214 Peach Orchard Road McConnellsburg, PA (39.936716, -78.009)",PA,Health Plan Models,56,
Pennsylvania Rural Health Model,JERSEY SHORE HOSPITAL,"1020 Thompson Street Jersey Shore, PA (41.201647, -77.267956)",PA,Health Plan Models,57,
Pennsylvania Rural Health Model,KANE COMMUNITY HOSPITAL,"7372 US-6 Kane, PA (41.701265, -78.705568)",PA,Health Plan Models,58,
Pennsylvania Rural Health Model,MONONGAHELA VALLEY HOSPITAL,"1163 Country Club Road Monongahela, PA (40.181578, -79.916276)",PA,Health Plan Models,59,
Pennsylvania Rural Health Model,PUNXSUTAWNEY AREA HOSPITAL,"81 Hillcrest Drive Punxsutawney, PA (40.960153, -79.000359)",PA,Health Plan Models,60,
Pennsylvania Rural Health Model,WASHINGTON HEALTH SYSTEM GREENE,"350 Bonar Ave Waynesburg, PA (39.900605, -80.173929)",PA,Health Plan Models,61,
Pennsylvania Rural Health Model,TYRONE HOSPITAL,"187 Hospital Drive Tyrone, PA (40.674843, -78.252302)",PA,Health Plan Models,62,
Pennsylvania Rural Health Model,WASHINGTON HOSPITAL,"155 Wilson Ave Washington, PA (40.183244, -80.247471)",PA,Health Plan Models,63,
Pennsylvania Rural Health Model,WAYNE MEMORIAL HOSPITAL,"601 Park Street Honesdale, PA (41.576284, -75.259796)",PA,Health Plan Models,64,
Pennsylvania Rural Health Model,WINDBER HOSPITAL,"600 Somerset Ave Windber, PA (40.242123, -78.837917)",PA,Health Plan Models,65,
Maryland Total Cost of Care Model,"Primary Medical Services, PC","801 Toll House Ave Ste E Frederick, MD (39.425798, -77.414231)",MD,State & Community-Based Models,66,
