Name of Initiative,Organization Name,Location 1,State,Category,Unique ID,State Based
Making Care Primary (MCP) Model,Denver Health and Hospital Authority,"777 Bannock Street, Mail Code 1925, Denver, CO (39.7282125, -104.9936503)",CO,Accountable Care Models,935,False
Making Care Primary (MCP) Model,Presbyterian Healthcare Services,"9521 San Mateo Blvd NE, Albuquerque, NM (35.1972932, -106.5901459)",NM,Accountable Care Models,936,False
Making Care Primary (MCP) Model,San Juan Regional Medical Center,"801 West Maple Street, Farmington, NM (36.7237666, -108.219383)",NM,Accountable Care Models,937,False
Making Care Primary (MCP) Model,La Clinica De Pueblo De Rio Arriba,"HWY 84, CR 0324 #14, Tierra Amarilla, NM (36.7119265, -106.5620279)",NM,Accountable Care Models,938,False
Making Care Primary (MCP) Model,"Family Medicine, PC","3825 Eubank Blvd NE, Suite A, Albuquerque, NM (35.1267274, -106.5364018)",NM,Accountable Care Models,939,False
Making Care Primary (MCP) Model,El Centro Family Health,"538 Paseo de Onate, Espanola, NM (35.9982477, -106.0884059)",NM,Accountable Care Models,940,False
Making Care Primary (MCP) Model,"Las Clinicas del Norte, Incorporated","State Road 571, Building 28, PO Box 237, EL Rito, NM (36.3306889, -106.1879468)",NM,Accountable Care Models,941,False
Making Care Primary (MCP) Model,"New Mexico Oncology Hematology Consultants, LTD","4901 Lang Avenue NE, Albuquerque, NM (35.173836, -106.5927289)",NM,Accountable Care Models,942,False
Making Care Primary (MCP) Model,"Albuquerque Health Care for the Homeless, Inc.","1217 1st Street NW, Albuquerque, NM (35.0955025, -106.6486709)",NM,Accountable Care Models,943,False
Making Care Primary (MCP) Model,Southwest Care Center,"1691 Galisteo St., Suite D, Santa Fe, NM (35.6596289, -105.9534225)",NM,Accountable Care Models,944,False
Making Care Primary (MCP) Model,Deming Hospital Corporation,"905 South 8th Street, Suite B, Deming, NM (32.2591963, -107.7707881)",NM,Accountable Care Models,945,False
Making Care Primary (MCP) Model,Deming Clinic Corporation,"905 South 8th Street, Suite A, Deming, NM (32.2591963, -107.7707881)",NM,Accountable Care Models,946,False
Making Care Primary (MCP) Model,Bridge To Life Clinical Consultants LLC,"811 Washington Rd, Parlin, NJ (40.4627565, -74.3291467)",NJ,Accountable Care Models,947,False
Making Care Primary (MCP) Model,Three Crosses Regional Hospital LLC,"2560 Samaritan Drive, Las Cruces, NM (32.3329868, -106.7822803)",NM,Accountable Care Models,948,False
Making Care Primary (MCP) Model,UNM Hospital,"2211 Lomas Blvd NE, Albuquerque, NM (35.0880637, -106.6198098)",NM,Accountable Care Models,949,False
Making Care Primary (MCP) Model,Carolina Caring Health Partners,"3975 Robinson Road, Newton, NC (35.643818, -81.2923676)",NC,Accountable Care Models,950,False
Making Care Primary (MCP) Model,SHAE Medical PLLC,"5306 NC Hwy 55, Suite 105, Durham, NC (35.8918836, -78.9026953)",NC,Accountable Care Models,951,False
Making Care Primary (MCP) Model,Gallup Community Health,"2022 E Aztec Ave, Gallup, NM (35.528105, -108.7152083)",NM,Accountable Care Models,952,False
Making Care Primary (MCP) Model,Wayne Hudson DO Integrated Medical Practice PLLC,"310 East Olive Street, Lamar, CO (38.0881138, -102.6182833)",CO,Accountable Care Models,953,False
Making Care Primary (MCP) Model,James Gonzales Corporation LLC,"12208 Mirandy CT NE, Albuquerque, NM (35.1789455, -106.5059819)",NM,Accountable Care Models,954,False
Making Care Primary (MCP) Model,Seattle Indian Health Board,"611 12th Avenue South, Seattle, WA (47.597235, -122.3206843)",WA,Accountable Care Models,955,False
Making Care Primary (MCP) Model,Neighborcare Health,"1200 12th Ave S, STE 901, Seattle, WA (47.5928996, -122.3183507)",WA,Accountable Care Models,956,False
Making Care Primary (MCP) Model,International Community Health Services,"720 8th Avenue South, Seattle, WA (47.5962717, -122.3244219)",WA,Accountable Care Models,957,False
Making Care Primary (MCP) Model,Yakima Valley Farm Workers Clinic,"604 W 1st Ave, Toppenish, WA (46.3746799, -120.3215288)",WA,Accountable Care Models,958,False
Making Care Primary (MCP) Model,NEW Health Programs Association,"509 E Main Ave, Chewelah, WA (48.2768652, -117.7130615)",WA,Accountable Care Models,959,False
Making Care Primary (MCP) Model,Tri-Cities Community Health,"800 West Court Street, Pasco, WA (46.2410177, -119.1025459)",WA,Accountable Care Models,960,False
Making Care Primary (MCP) Model,Association of University Physicians,"1959 NE Pacific Street, C-414, Box 356380, Seattle, WA (47.6494268, -122.3117016)",WA,Accountable Care Models,961,False
Making Care Primary (MCP) Model,Family Health Centers,"716 S 1st Avenue, Okanogan, WA (48.3597417, -119.5847965)",WA,Accountable Care Models,962,False
Making Care Primary (MCP) Model,The NATIVE Project,"1803 W Maxwell Ave, Spokane, WA (47.6705298, -117.4416827)",WA,Accountable Care Models,963,False
Making Care Primary (MCP) Model,Moses Lake Community Health Center,"605 Coolidge Street, Moses Lake, WA (47.129411, -119.2645453)",WA,Accountable Care Models,964,False
Making Care Primary (MCP) Model,Family Care Network  PLLC,"709 W Orchard Dr  Suite 4, Bellingham, WA (48.7783998, -122.48348)",WA,Accountable Care Models,965,False
Making Care Primary (MCP) Model,Unity Care Northwest,"1616 Cornwall Avenue, Suite 205, Bellingham, WA (48.7536291, -122.4772708)",WA,Accountable Care Models,966,False
Making Care Primary (MCP) Model,"Internal Medicine Of Brighton, PLLC","300 White Spruce Blvd., Suite 100, Rochester, NY (43.1037628, -77.6215538)",NY,Accountable Care Models,967,False
Making Care Primary (MCP) Model,One Community Health,"849 Pacific Ave, Hood River, OR (45.6962651, -121.5218489)",OR,Accountable Care Models,968,False
Making Care Primary (MCP) Model,Peninsula Community Health Services,"PO Box 960, Bremerton, WA (47.5346889, -122.7833643)",WA,Accountable Care Models,969,False
Transforming Maternal Health (TMaH) Model,State-led Participation,"Alabama (32.5532589, -89.3209579)",AL,State & Community-Based Models,970,False
Transforming Maternal Health (TMaH) Model,State-led Participation,"Arkansas (34.7471609, -93.448616)",AR,State & Community-Based Models,971,False
Transforming Maternal Health (TMaH) Model,State-led Participation,"California (36.8514276, -129.3630499)",CA,State & Community-Based Models,972,False
Transforming Maternal Health (TMaH) Model,State-led Participation,"Washington, D.C. (38.8938592, -77.0969765)",DC,State & Community-Based Models,973,False
Transforming Maternal Health (TMaH) Model,State-led Participation,"Illinois (39.7137214, -91.9061365)",IL,State & Community-Based Models,974,False
Transforming Maternal Health (TMaH) Model,State-led Participation,"Kansas (38.472765, -100.9598153)",KS,State & Community-Based Models,975,False
Transforming Maternal Health (TMaH) Model,State-led Participation,"Louisiana (30.915263, -94.0412152)",LA,State & Community-Based Models,976,False
Transforming Maternal Health (TMaH) Model,State-led Participation,"Maine (45.1619561, -71.6238206)",ME,State & Community-Based Models,977,False
Transforming Maternal Health (TMaH) Model,State-led Participation,"Minnesota (46.4153467, -96.0004695)",MN,State & Community-Based Models,978,False
Transforming Maternal Health (TMaH) Model,State-led Participation,"Mississippi (32.5450085, -92.5166706)",MI,State & Community-Based Models,979,False
Transforming Maternal Health (TMaH) Model,State-led Participation,"New Jersey (40.0677543, -76.0434301)",NJ,State & Community-Based Models,980,False
Transforming Maternal Health (TMaH) Model,State-led Participation,"Oklahoma (35.2848468, -101.3567182)",OK,State & Community-Based Models,981,False
Transforming Maternal Health (TMaH) Model,State-led Participation,"South Carolina (33.6010076, -82.2458187)",SC,State & Community-Based Models,982,False
Transforming Maternal Health (TMaH) Model,State-led Participation,"West Virginia (38.9148861, -81.5011803)",WV,State & Community-Based Models,983,False
Transforming Maternal Health (TMaH) Model,State-led Participation,"Wisconsin (44.7953081, -94.573045)",WI,State & Community-Based Models,984,False
ACO REACH,"Accountable Care Models Coalition of Direct Contracting, LLC","1668 S. Garfield Avenue, 2nd Floor Alhambra CA (34.0755723, -118.1253277)",CA,Accountable Care Models,985,
ACO REACH,"Accountable Care Models Coalition of Southeast Texas, Inc.","1668 S. Garfield Avenue, 2nd Floor Alhambra CA (34.0755723, -118.1253277)",CA,Accountable Care Models,986,
ACO REACH,"Accountable Care Models Organization of Advocate Aurora Health, LLC","750 West Virginia Street, Milwaukee, WI (43.0267121, -87.9234218)",WI,Accountable Care Models,987,
ACO REACH,"ACO REACH South Texas, LLC","367 S Gulph Road, King of Prussia, PA (40.078387, -75.370303)",PA,Accountable Care Models,988,
ACO REACH,"Advanced Illness Partners, LLC","2300 N St NW, #630 Washington DC (38.9070383, -77.0531746)",DC,Accountable Care Models,989,
ACO REACH,"AdventHealth Senior Care, Inc","900 HOPE WAY, Altamonte Springs, FL (28.641799, -81.414096)",FL,Accountable Care Models,990,
ACO REACH,"agilon health Coastal ACO, Inc.","6210 E Highway 290 #450, AUSTIN, TX (30.322783, -97.703021)",TX,Accountable Care Models,991,
ACO REACH,"agilon health Columbus Ohio ACO, Inc.","6210 E Highway 290 #450, AUSTIN, TX (30.322783, -97.703021)",TX,Accountable Care Models,992,
ACO REACH,"agilon health Mid-Atlantic ACO, Inc.","6210 E Highway 290 #450, AUSTIN, TX (30.322783, -97.703021)",TX,Accountable Care Models,993,
ACO REACH,"agilon health Northeast Ohio ACO, Inc.","6210 E Highway 290 #450, AUSTIN, TX (30.322783, -97.703021)",TX,Accountable Care Models,994,
ACO REACH,"agilon health Northeastern ACO, Inc.","6210 E Highway 290 #450, AUSTIN, TX (30.322783, -97.703021)",TX,Accountable Care Models,995,
ACO REACH,"agilon health Ohio ACO, Inc.","6210 E Highway 290 #450, AUSTIN, TX (30.322783, -97.703021)",TX,Accountable Care Models,996,
ACO REACH,"agilon health Pennsylvania ACO, Inc.","6210 E Highway 290 #450, AUSTIN, TX (30.322783, -97.703021)",TX,Accountable Care Models,997,
ACO REACH,"agilon health Texas ACO, Inc.","6210 E Highway 290 #450, AUSTIN, TX (30.322783, -97.703021)",TX,Accountable Care Models,998,
ACO REACH,"Aledade Accountable Care Models 128, LLC","4550 Montgomery Ave #950N, Bethesda, MD (38.983813, -77.091588)",MD,Accountable Care Models,999,
ACO REACH,Allina Health System,"2925 Chicago Avenue, Minneapolis, MN (44.949293, -93.261158)",MN,Accountable Care Models,1000,
ACO REACH,"American Choice Healthcare, LLC","14750 NW 77th Ct, Miami Lakes, FL (25.907572, -80.324439)",FL,Accountable Care Models,1001,
ACO REACH,"America's MDE, LLC","1344 S. Apollo Suite 303, Melbourne, FL (28.087293, -80.618605)",FL,Accountable Care Models,1002,
ACO REACH,APA ACO Inc.,"1668 S. Garfield Avenue, 2nd Floor Alhambra CA (34.0755723, -118.1253277)",CA,Accountable Care Models,1003,
ACO REACH,"Arizona Health Advantage, Inc","585 N Juniper Drive, Ste 200, Chandler, AZ (33.311984, -111.917388)",AZ,Accountable Care Models,1004,
ACO REACH,Asaar Medical Inc.,"2385 NW Executive Center Drive Boca Raton FL (26.3698123, -80.1311941)",FL,Accountable Care Models,1005,
ACO REACH,Assurity DCE LLC,"3535 Little Rd., Trinity, FL (27.906823, -82.176749)",FL,Accountable Care Models,1006,
ACO REACH,"ATLAS IPA, LLC","2616 Halperin Avenue, Bronx, NY (40.843107, -73.843909)",NY,Accountable Care Models,1007,
ACO REACH,"Alignment Health ACO, LLC","1100 W. Town and Country Road, #1600 Orange CA (33.7763774, -117.8661969)",CA,Accountable Care Models,1008,
ACO REACH,"BH ACO, LLC","201 King of Prussia Rd, Radnor, PA (40.095288, -75.382861)",PA,Accountable Care Models,1009,
ACO REACH,Bloom Health Network LLC (d/b/a Bloom Healthcare),"10900 West 44th Avenue, Wheat Ridge, CO (39.777875, -105.119874)",CO,Accountable Care Models,1010,
ACO REACH,Bluerock Care Community LLC (DBA: Penn Ave Health),"12600 West Colfax Avenue Suite B-200 Lakewood CO (39.7389875, -105.1429537)",CO,Accountable Care Models,1011,
ACO REACH,CareConnectMD DCE LLC,"3090 Bristol Street, Costa Mesa, CA (33.685467, -117.88549)",CA,Accountable Care Models,1012,
ACO REACH,CareMount Value Partners IPA,"90 S Bedford RD, Mount Kisco, NY (41.196515, -73.71998)",NY,Accountable Care Models,1013,
ACO REACH,"Castell Accountable Care Models, LLC","36 S State Street Ste 2200, Salt Lake City, UT (40.768351, -111.888539)",UT,Accountable Care Models,1014,
ACO REACH,"Catholic Medical Partners-Accountable Care Models IPA, INC","144 Genesee St., Fifth Floor, Buffalo, NY (42.890136, -78.869226)",NY,Accountable Care Models,1015,
ACO REACH,"CenterWell Care Solutions, Inc.","500 W. Main St., Louisville, KY (38.256512, -85.758898)",KY,Accountable Care Models,1016,
ACO REACH,"Revere Health Collaborative Network, LLC","1055 North 500 West Administration building B, Provo, UT (40.249022, -111.668299)",UT,Accountable Care Models,1017,
ACO REACH,"CHESS Genesis, LLC","165 Kimel Park Drive, Winston-Salem, NC (36.058579, -80.297529)",NC,Accountable Care Models,1018,
ACO REACH,CHS ACO Op Co LLC,"10123 Alliance Road Blue Ash OH (39.2439753, -84.3855034)",OH,Accountable Care Models,1019,
ACO REACH,CINQCARE ACO REACH LLC,"2300 N St NW, #630 Washington DC (38.9070383, -77.0531746)",DC,Accountable Care Models,1020,
ACO REACH,"Harbor Health ACO, LLC","3908 Avenue B, Suite 204 Austin TX (30.3045343, -97.7383677)",TX,Accountable Care Models,1021,
ACO REACH,Collaborative Care Partners LLC,"2500 MetroHealth Dr, Cleveland, OH (41.462453, -81.697326)",OH,Accountable Care Models,1022,
ACO REACH,Commonwealth Primary Care ACO LLC,"4742 N 24th Street, Phoenix, AZ (33.506798, -112.030382)",AZ,Accountable Care Models,1023,
ACO REACH,"Community Care Contracting, LLC","711 Troy Schenectady Road, Ste. 201, Latham, NY (42.75813, -73.777372)",NY,Accountable Care Models,1024,
ACO REACH,C3 REACH LLC,"75 Federal Street, Boston, MA (42.355279, -71.0568)",MA,Accountable Care Models,1025,
ACO REACH,Complete Care Academy Collaborative,"330 Hudson Street, New York, NY (40.727019, -74.007181)",NY,Accountable Care Models,1026,
ACO REACH,Complete Care Collaborative of the Midwest,"330 Hudson St, New York, NY (40.727019, -74.007181)",NY,Accountable Care Models,1027,
ACO REACH,Complete Care Collaborative of the South,"330 Hudson St, New York, NY (40.727019, -74.007181)",NY,Accountable Care Models,1028,
ACO REACH,Complete Health Accountable Care Models LLC,"841 Prudential Drive Jacksonville FL (30.3178936, -81.6654707)",FL,Accountable Care Models,1029,
ACO REACH,"CVS Accountable Care Models Organization, Inc.","233 Spring Street East, New York, NY (40.72569, -74.004874)",NY,Accountable Care Models,1030,
ACO REACH,"Esse Health ACO, LLC","12655 Olive Blvd 4th Floor, St Louis, MO (38.678051, -90.467774)",MO,Accountable Care Models,1031,
ACO REACH,Fairview Health Services,"2450 Riverside Avenue, Minneapolis, MN (44.96628, -93.236956)",MN,Accountable Care Models,1032,
ACO REACH,"Genuine Health Direct, LLC","806 South Douglas Road, Coral Gables, FL (25.764579, -80.255286)",FL,Accountable Care Models,1033,
ACO REACH,HarmonyCares ACO LLC,"500 Kirts Blvd, Troy, MI (42.55688, -83.153152)",MI,Accountable Care Models,1034,
ACO REACH,Health Partners for the Elderly LLC,"1785 Northpointe Parkway Lutz FL (28.1845993, -82.540625)",FL,Accountable Care Models,1035,
ACO REACH,Honest ACO of Michigan LLC,"210 Athens Way, Ste. 200, Nashville, TN (36.194107, -86.798853)",TN,Accountable Care Models,1036,
ACO REACH,Honest ACO of New York LLC,"210 Athens Way, Ste. 200, Nashville, TN (36.194107, -86.798853)",TN,Accountable Care Models,1037,
ACO REACH,"Humana Direct Contracting Entity, Inc.","500 W Main St., Louisville, KY (38.256512, -85.758898)",KY,Accountable Care Models,1038,
ACO REACH,"ilumed, LLC","775 W Indiantown Road Suite 4, Jupiter, FL (26.934364, -80.107647)",FL,Accountable Care Models,1039,
ACO REACH,"Indiana University Health ACO, Inc.","340 West 10th Ave, Indianapolis, IN (39.781555, -86.165162)",IN,Accountable Care Models,1040,
ACO REACH,Innovation Care Partners REACH LLC,"8901 E Mountain View Road, Scottsdale, AZ (33.573577, -111.887657)",AZ,Accountable Care Models,1041,
ACO REACH,"Iora Health NE DCE, LLC (DBA Iora Health Network)","1 Embarcadero Center San Francisco CA (37.7946549, -122.4024011)",CA,Accountable Care Models,1042,
ACO REACH,Medical Home Network REACH ACO,"180 N. Stetson, Suite 600-1, Chicago, IL (41.885148, -87.623128)",IL,Accountable Care Models,1043,
ACO REACH,"'N HEALTH NETWORK PARTNERS, LLC","9822 TAPESTRY PARK CIR, JACKSONVILLE, FL (30.257893, -81.553484)",FL,Accountable Care Models,1044,
ACO REACH,DULY HEALTH AND ACCOUNTABLE CARE ORGANIZATION,"1100 31st Street, Downers Grove, IL (41.831207, -88.013301)",IL,Accountable Care Models,1045,
ACO REACH,"NeueHealth Advantage ACO, LLC","8000 Norman Center Drive, Bloomington, MN (43.86663, -93.05103)",MN,Accountable Care Models,1046,
ACO REACH,"NeueHealth Community ACO, LLC","8000 Norman Center Drive, Minneapolis, MN (44.858355, -93.357391)",MN,Accountable Care Models,1047,
ACO REACH,"NeueHealth Premier ACO, LLC","8000 Norman Center Drive, Bloomington, MN (43.86663, -93.05103)",MN,Accountable Care Models,1048,
ACO REACH,Nevada Care Connect,"6330 S. Jones Blvd Las Vegas NV (36.074289, -115.2267443)",NV,Accountable Care Models,1049,
ACO REACH,"Nivano Physicians, Inc. IPA","1420 River Park Drive Suite 200, Sacramento, CA (38.597596, -121.439286)",CA,Accountable Care Models,1050,
ACO REACH,North East Medical Services,"2171 Junipero Serra Blvd, Daly City, CA (37.697729, -122.47053)",CA,Accountable Care Models,1051,
ACO REACH,Northern Michigan Health Network dba NPO-CIN,"4290 Copper Ridge Dr., Traverse City, MI (44.7471, -85.655559)",MI,Accountable Care Models,1052,
ACO REACH,Oak Street Health Medicare Partners LLC,"30 W. Monroe St., Chicago, IL (41.881086, -87.628584)",IL,Accountable Care Models,1053,
ACO REACH,"On Belay Health Solutions, LLC","100 Summer Street Boston MA (42.3538143, -71.0599659)",MA,Accountable Care Models,1054,
ACO REACH,"Optimum NY Independent Practice Association, LLC","726 Exchange St., Buffalo, NY (42.87485, -78.849625)",NY,Accountable Care Models,1055,
ACO REACH,P3 Health Partners REACH ACO LLC,"2370 Corporate Cir, Henderson, NV (36.025364, -115.087214)",NV,Accountable Care Models,1056,
ACO REACH,Park Nicollet Health Services ACO LLC d/b/a HealthPartners ACO,"3800 Park Nicollet Blvd, St Louis Park, MN (44.934006, -93.265369)",MN,Accountable Care Models,1057,
ACO REACH,"Pathways Accountable Care Models, LLC d/b/a Pathways Health Partners","700 West Main St, Leesburg, FL (28.811342, -81.878593)",FL,Accountable Care Models,1058,
ACO REACH,PCMA Cooperative LLC,"2000 Cliff Mine Road, Pittsburgh, PA (40.47441, -79.950968)",PA,Accountable Care Models,1059,
ACO REACH,PeaceHealth Direct Contracting LLC,"1115 SE 164th Avenue, Vancouver, WA (45.613336, -122.50108)",WA,Accountable Care Models,1060,
ACO REACH,"Pearl Network, LLC","220 5th Avenue, New York, NY (40.743678, -73.988252)",NY,Accountable Care Models,1061,
ACO REACH,"Pearl Primary Care Network, LLC","220 5th Avenue, New York, NY (40.743678, -73.988252)",NY,Accountable Care Models,1062,
ACO REACH,"Physician Leaders Direct Contracting Entity, LLC","1985 Marcus Avenue Suite 202, Lake Success, NY (40.75668, -73.693095)",NY,Accountable Care Models,1063,
ACO REACH,"Physician Partners ACO Reach, LLC","601 S. Harbour Island Blvd,, Tampa, FL (27.938655, -82.454822)",FL,Accountable Care Models,1064,
ACO REACH,Physicians Healthcare Collaborative,"1202 Medical Center Drive, Wilmington, NC (34.202078, -77.929271)",NC,Accountable Care Models,1065,
ACO REACH,"Primary Care Alliance, LLC","410 Fern Drive Leesburg FL (28.8160511, -81.847391)",FL,Accountable Care Models,1066,
ACO REACH,Prime Accountable Care Models East LLC,"20 Burton Hills Blvd, Nashville, TN (36.094639, -86.82228)",TN,Accountable Care Models,1067,
ACO REACH,"PRIME HEALTHCARE ACO, LLC","3480 E. Guasti Road, Ontario, CA (34.065056, -117.576323)",CA,Accountable Care Models,1068,
ACO REACH,"Provider Partners Connect Care, LLC","785 Elkridge Landing Road, Suite 300, Linthicum, MD (39.193473, -76.680768)",MD,Accountable Care Models,1069,
ACO REACH,"Rancho Health Management, LLC","28780 Single Oak Dr Suite 260, Temecula, CA (33.499369, -117.160908)",CA,Accountable Care Models,1070,
ACO REACH,"Reliant Medical Group, Inc.","5 Neponset St, Worcester, MA (42.299075, -71.801235)",MA,Accountable Care Models,1071,
ACO REACH,"RGV ACO Health Providers, LLC","303 N D Salinas Blvd., Donna, TX (26.173668, -98.041443)",TX,Accountable Care Models,1072,
ACO REACH,"St. Luke's Clinic Coordinated Care, Ltd","190 E. Bannock Street, Boise, Boise, ID (43.612369, -116.191687)",ID,Accountable Care Models,1073,
ACO REACH,"Subsero Healthcare, LLC d/b/a MAX Healthcare #1","3030 N. Rocky Point Tampa FL (27.9686233, -82.5716845)",FL,Accountable Care Models,1074,
ACO REACH,"Temple Care, Inc","3509 N Broad St, Philadelphia, PA (40.006265, -75.151751)",PA,Accountable Care Models,1075,
ACO REACH,"Triad HealthCare Network, LLC.","1200 N. Elm St., Greensboro, NC (36.090748, -79.787714)",NC,Accountable Care Models,1076,
ACO REACH,"Tri-Shield Health, Inc. ","4101 Charlotte Avenue Nashville TN (36.1515932, -86.838765)",TN,Accountable Care Models,1077,
ACO REACH,"United Physicians Association, Inc","9892 Garden Grove Blvd., Garden Grove, CA (33.773156, -117.959553)",CA,Accountable Care Models,1078,
ACO REACH,UT Southwestern Accountable Care Models Network,"1601 Lyndon B. Johnson Freeway, Farmers Branch, TX (32.907936, -96.920841)",TX,Accountable Care Models,1079,
ACO REACH,"VillageMD Primary Providers ACO III, LLC","125 S. Clark Street Suite 900, Chicago, IL (41.880074, -87.630688)",NJ,Accountable Care Models,1080,
ACO REACH,"VillageMD Primary Providers ACO IV, LLC","3445 Peachtree Road, Suite 1200, Atlanta, GA (33.850354, -84.361882)",NJ,Accountable Care Models,1081,
ACO REACH,"VillageMD Primary Providers ACO II, LLC","9055 Katy Fwy Suite 100, Houston, TX (29.783489, -95.512194)",TX,Accountable Care Models,1082,
ACO REACH,"VillageMD Primary Providers ACO V, LLC","125 S. Clark Street Suite 900, Chicago, IL (41.880074, -87.630688)",NJ,Accountable Care Models,1083,
ACO REACH,"VillageMD New Hampshire ACO, LLC","6 Tsienneto Road Suite 300, Derry, NH (42.897458, -71.324086)",NH,Accountable Care Models,1084,
ACO REACH,"VillageMD Primary Providers ACO, LLC","125 S. Clark Street Suite 900, Chicago, IL (41.880074, -87.630688)",NJ,Accountable Care Models,1085,
ACO REACH,Vytalize Health 9 ACO LLC,"2 Hudson Place, Hoboken, NJ (40.735902, -74.028192)",NJ,Accountable Care Models,1086,
ACO REACH,"Wellvana Premier Care, LLC","20 Burton Hills Blvd, Nashville, TN (36.094639, -86.82228)",TN,Accountable Care Models,1087,
ACO Primary Care Flex Model,"Aledade Kansas ACO, LLC d.b.a. Aledade A2909 FL MSSP Enhanced","4550 Montgomery Ave., Ste 950N Bethesda MD (38.9837738, -77.0940842)",MD,Accountable Care Models,1088,False
ACO Primary Care Flex Model,"Aledade Louisiana ACO, LLC d.b.a. Aledade A2918 LA MSSP Enhanced","4550 Montgomery Ave., Ste 950N Bethesda MD (38.9837738, -77.0940842)",MD,Accountable Care Models,1089,False
ACO Primary Care Flex Model,Physician Partners of Western PA LLC d.b.a. Physicians Partners of Western PA,"120 Fifth Avenue Place Pittsburgh PA (40.4421442, -80.0060051)",PA,Accountable Care Models,1090,False
ACO Primary Care Flex Model,"Aledade Accountable Care 22, LLC d.b.a. Aledade 22 National MSSP","4550 Montgomery Ave., Ste 950N Bethesda MD (38.9837738, -77.0940842)",MD,Accountable Care Models,1091,False
ACO Primary Care Flex Model,"Aledade Accountable Care 37, LLC d.b.a. Aledade 37 VA MSSP Enhanced","4550 Montgomery Ave., Ste 950N Bethesda MD (38.9837738, -77.0940842)",MD,Accountable Care Models,1092,False
ACO Primary Care Flex Model,"Aledade Accountable Care 48, LLC d.b.a. Aledade 48 National MSSP","4550 Montgomery Ave., Ste 950N Bethesda MD (38.9837738, -77.0940842)",MD,Accountable Care Models,1093,False
ACO Primary Care Flex Model,"ACMG Health Systems, Inc. d.b.a. ACMG","806 South Douglas Road, Ste 700 Coral Gables FL (25.7632972, -80.2594743)",FL,Accountable Care Models,1094,False
ACO Primary Care Flex Model,"Aledade Accountable Care 58, LLC d.b.a. Aledade 58 AR CHC MSSP Enhanced","4550 Montgomery Ave., Ste 950N Bethesda MD (38.9837738, -77.0940842)",MD,Accountable Care Models,1095,False
ACO Primary Care Flex Model,"Aledade Accountable Care 102, LLC d.b.a. Aledade 102 NC TN CHC MSSP Enhanced","4550 Montgomery Ave., Ste 950N Bethesda MD (38.9837738, -77.0940842)",MD,Accountable Care Models,1096,False
ACO Primary Care Flex Model,"Aledade Accountable Care 150, LLC d.b.a. Aledade PACHC MSSP Enhanced","4550 Montgomery Ave., Ste 950N Bethesda MD (38.9837738, -77.0940842)",MD,Accountable Care Models,1097,False
ACO Primary Care Flex Model,"Aledade Accountable Care 151, LLC d.b.a.. Aledade 151 Northern Territories MSSP Enhanced","4550 Montgomery Ave., Ste 950N Bethesda MD (38.9837738, -77.0940842)",MD,Accountable Care Models,1098,False
ACO Primary Care Flex Model,"Aledade Accountable Care 158, LLC d.b.a. Aledade 158 TX MSSP Enhanced","4550 Montgomery Ave., Ste 950N Bethesda MD (38.9837738, -77.0940842)",MD,Accountable Care Models,1099,False
ACO Primary Care Flex Model,"Aledade Accountable Care 160, LLC d.b.a. Aledade 160 VA CHC MSSP Enhanced","4550 Montgomery Ave., Ste 950N Bethesda MD (38.9837738, -77.0940842)",MD,Accountable Care Models,1100,False
ACO Primary Care Flex Model,"Aledade Accountable Care 196, LLC d.b.a., Aledade 196 Advocare Collaborative Health MSSP","4550 Montgomery Ave., Ste 950N Bethesda MD (38.9837738, -77.0940842)",MD,Accountable Care Models,1101,False
ACO Primary Care Flex Model,Saint Francis Accountable Health Alliance LLC,"6161 South Yale Ave. Tulsa OK (36.0727094, -95.9224229)",OK,Accountable Care Models,1102,False
ACO Primary Care Flex Model,"Medical Partners Management Group, LLC  d.b.a. MPMG ACO","1732 S. Congress Ave., Ste 346 Palm Springs FL (26.6393289, -80.0898235)",FL,Accountable Care Models,1103,False
ACO Primary Care Flex Model,"NeueHealth Collaborative Care, LLC","8000 Norman Center Drive, Ste 900 Minneapolis MN (44.8523202, -93.3533906)",MN,Accountable Care Models,1104,False
ACO Primary Care Flex Model,"Aledade Accountable Care 201, LLC d.b.a. Aledade 201 National MSSP","4550 Montgomery Ave., Ste 950N Bethesda MD (38.9837738, -77.0940842)",MD,Accountable Care Models,1105,False
ACO Primary Care Flex Model,RIPC Population Management LLC,"150 New London Ave. Cranston RI (41.761969, -71.4619956)",RI,Accountable Care Models,1106,False
ACO Primary Care Flex Model,"CCCN ACO, LLC","18 S. Mission St., Ste 300 Wenalchee WA (47.4234785, -120.315114)",WA,Accountable Care Models,1107,False
ACO Primary Care Flex Model,C3 MSSP Enhanced LLC,"75 Federal St.., 7th Floor Boston MA (42.3549992, -71.0593953)",MA,Accountable Care Models,1108,False
ACO Primary Care Flex Model,ElevateCare Network LLC,"4055 Valley View Lane Dallas  TX (32.9261083, -96.8462312)",TX,Accountable Care Models,1109,False
ACO Primary Care Flex Model,"My Choice Quality Care Network, LLC","3710 Ruffin Rd San Diego CA (32.8108275, -117.1246275)",CA,Accountable Care Models,1110,False
ACO Primary Care Flex Model,OBHS ACO 1 LLC,"100 Summer Street, Ste 1600 Boston MA (42.3537887, -71.0599999)",MA,Accountable Care Models,1111,False
